大分類,定義,この分類に入る例,この分類にしない例,判定の着眼点
レジ接客,レジでの接客・会計対応（態度／マニュアル／知識／医薬品）が主因,レジでの態度／会計ミス／ポイント・クーポン対応／レジでの医薬品対応,売場での対応（→外周り接客）／価格の不一致（→アンマッチ）,不満の起点がレジ担当者の対応か
外周り接客,売場・外周りでの接客・作業対応（態度／売場作業／商品／医薬品）が主因,売場での態度／電話・返品対応／在庫問い合わせ／売場での医薬品対応,レジでの対応（→レジ接客）,不満の起点が売場・外周り担当者の対応か
アンマッチ,表示（棚札・ポイント）とレジ結果の不一致が主因,棚とレジで売価が違う／ポイントが合わない,欠品（→欠品・特注）,表示とレジ結果の不一致が起点か
欠品・特注,商品の欠品・特注に関するご意見,定番／チラシ商品の欠品／特注対応,品揃えの要望（→商品・扱い品）,欲しい商品が無い／特注が起点か
商品・扱い品,商品そのものの品質・制限・期限・品揃えが主因,製品不良／点数制限／期限切れ／品揃え,欠品（→欠品・特注）,商品自体に関する不満か
クリンリネス,店内外の清掃・衛生状態が主因,店内／テスター／店外・駐車場／トイレ,従業員の身だしなみ（→接客態度）,清掃・衛生状態が起点か
アプリ,自社アプリの仕組み・内容が主因,アプリの使い勝手・仕様・内容,店員のアプリ知識不足（→レジ接客:知識）,アプリ自体が起点か
販促関連,キャンペーン・企画・販促の内容やシステムが主因,企画内容／キャンペーンのシステム,店員の販促対応（→接客）,販促企画・仕組みそのものが起点か
EC,ネット通販・店舗受け取りに関するご意見,EC関連／店舗受け取り,店頭の特注対応（→外周り接客）,EC・受け取りが起点か
その他,設備・閉店・その他（騒音・配送など）,設備（店内／本部）／閉店／その他,明確に他分類に入るもの,上記いずれにも当てはまらないか
事件・事故,店内外の事件・事故に関するご意見,事件／事故,通常のクレーム・ご意見,事件・事故性があるか
問い合わせ・要望,商品・サービス・店舗等への問い合わせや要望,各種問い合わせ／改善要望,明確なクレーム（該当分類へ）,問い合わせ・要望が主か
営業,営業時間・営業体制など営業に関する事項,営業時間／営業体制への意見,店頭接客（→接客）,営業に関する事項か
社内,社内向け・内部連絡に関する事項,社内連絡／内部管理に関する事項,顧客対応（該当分類へ）,社内事項か
人事書類,人事・書類に関する事項,人事関連／書類手続き,顧客対応（該当分類へ）,人事・書類事項か
テナント接客,テナントの接客に関する事項,テナント従業員の接客,自店の接客（→レジ/外周り接客）,テナントの接客か
テナント商品,テナントの商品に関する事項,テナントの商品・品揃え,自店の商品（→商品・扱い品）,テナントの商品か
お褒め,お褒め・感謝の声,良かった対応への感謝,クレーム・要望（該当分類へ）,肯定的な声か
